Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
2;2020;5456;Shepard, Sterling;WR;nyg;a;chi;5.5;5500
2;2020;5208;Patterson, Cordarrelle;WR;chi;h;nyg;5.3;3400
2;2020;5582;Reynolds, Josh;WR;lar;a;phi;5.3;4000
2;2020;5635;Washington, James;WR;pit;h;den;5.2;4100
2;2020;5287;Snead, Willie;WR;bal;a;hou;4.9;4300
2;2020;5585;Brown, Noah;WR;dal;h;atl;4.8;3000
2;2020;5089;Jones, Julio;WR;atl;a;dal;4.4;7400
2;2020;5651;Patrick, Tim;WR;den;a;pit;4.4;3800
2;2020;5830;Aiyuk, Brandon;WR;sfo;a;nyj;4.1;4300
2;2020;3851;Amendola, Danny;WR;det;a;gnb;4.1;4800
2;2020;5671;Wims, Javon;WR;chi;h;nyg;3.7;3100
2;2020;5097;Inman, Dontrelle;WR;was;a;ari;3.7;3500
2;2020;5212;Stills, Kenny;WR;hou;h;bal;3.6;3500
2;2020;5747;Johnson, Olabisi;WR;min;a;ind;3.4;3900
2;2020;5594;Williams, Mike;WR;lac;h;kan;3.4;4200
2;2020;5772;Miller, Scott;WR;tam;h;car;3.2;4100
2;2020;5379;Perriman, Breshad;WR;nyj;h;sfo;3.2;3800
2;2020;5571;Taylor, Trent;WR;sfo;a;nyj;3;3300
2;2020;5378;Agholor, Nelson;WR;lvr;h;nor;2.9;4000
2;2020;5841;Duvernay, Devin;WR;bal;a;hou;2.9;3400
2;2020;3983;Sanders, Emmanuel;WR;nor;a;lvr;2.8;5800
2;2020;5252;Watkins, Sammy;WR;kan;a;lac;2.1;4800
2;2020;5670;Coutee, Keke;WR;hou;h;bal;2.1;3000
2;2020;5799;Zaccheaus, Olamide;WR;atl;a;dal;2;3000
2;2020;5749;Meyers, Jakobi;WR;nwe;a;sea;1.7;3000
2;2020;5798;Dulin, Ashton;WR;ind;h;min;1.6;3000
2;2020;5640;Hamilton, DaeSean;WR;den;a;pit;1.5;3500
2;2020;5793;Ward, Greg;WR;phi;h;lar;1.5;4200
2;2020;5833;Ruggs III, Henry;WR;lvr;h;nor;1.4;5300
2;2020;5836;Gandy-Golden, Antonio;WR;was;a;ari;1.3;3300
2;2020;5486;Grant, Jakeem;WR;mia;h;buf;1.2;3900
2;2020;5855;Agnew, Jamal;WR;det;a;gnb;1;3000
2;2020;5848;Bowden, Lynn;WR;mia;h;buf;0.9;3000
2;2020;5843;Reed, Joe;WR;lac;h;kan;0.8;3700
2;2020;5729;Campbell, Parris;WR;ind;h;min;0.7;4500
2;2020;5666;Kemp, Marcus;WR;kan;a;lac;0;3000
2;2020;5461;Sharpe, Tajae;WR;min;a;ind;0;3400
2;2020;5578;Hollins, Mack;WR;mia;h;buf;0;3000
2;2020;5759;Pringle, Byron;WR;kan;a;lac;0;3000
2;2020;5408;Roberts, Seth;WR;car;a;tam;0;3000
2;2020;5677;Zylstra, Brandon;WR;car;a;tam;0;3000
2;2020;5353;Fowler, Bennie;WR;nor;a;lvr;0;3000
2;2020;5689;Powell, Brandon;WR;atl;a;dal;0;3000
2;2020;5480;Erickson, Alex;WR;cin;a;cle;0;3200
2;2020;5558;Ross, John;WR;cin;a;cle;0;4000
2;2020;5702;Turner, Malik;WR;dal;h;atl;0;3000
2;2020;5856;Hightower, John;WR;phi;h;lar;0;3000
2;2020;5699;Sherfield, Trent;WR;ari;h;was;0;3000
2;2020;5859;Osborn, K.J.;WR;min;a;ind;0;3000
2;2020;5845;Proche, James;WR;bal;a;hou;0;3000
2;2020;5462;Cooper, Pharoh;WR;car;a;tam;0;3000
2;2020;5766;Wilson, Cedrick;WR;dal;h;atl;0;3000
2;2020;5602;Natson, JoJo;WR;cle;h;cin;0;3000
2;2020;5454;Fuller, Will;WR;hou;h;bal;0;6300
2;2020;5765;Spencer, Diontae;WR;den;a;pit;0;3000
2;2020;5632;Miller, Anthony;WR;chi;h;nyg;0;5200
